dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/reference-173,gamma22,173,white-start,255,255,255,213.365875,225.113346,243.218936
native-gamma22-brightness-20260913/reference-173,gamma22,173,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-8,8,8,8,0.068481,0.068894,0.082939
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-12,12,12,12,0.189847,0.251569,0.190424
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-16,16,16,16,0.382893,0.407758,0.403201
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-24,24,24,24,1.087431,1.191409,1.163251
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-32,32,32,32,2.169452,2.332109,2.411147
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-48,48,48,48,5.136539,5.448381,5.799518
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-64,64,64,64,9.901903,10.567837,11.292025
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-96,96,96,96,24.120238,25.693083,27.373909
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-128,128,128,128,46.222954,48.961436,53.258817
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-160,160,160,160,75.78131,79.951818,86.98786
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-192,192,192,192,112.854564,119.535724,128.36153
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-224,224,224,224,159.253895,167.650133,182.494873
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-240,240,240,240,185.403351,195.057405,211.434924
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-248,248,248,248,199.246213,210.399425,226.888857
native-gamma22-brightness-20260913/reference-173,gamma22,173,gray-252,252,252,252,207.036849,218.447672,235.940535
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-128,128,0,0,19.877432,10.322892,1.06194
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-224,224,0,0,69.954855,36.276283,3.666844
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-240,240,0,0,82.051005,42.421441,4.118974
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-248,248,0,0,89.08066,46.05246,4.361701
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-252,252,0,0,92.07207,47.626856,4.590916
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-255,255,0,0,94.989289,49.199032,4.599336
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-128,0,128,0,17.825674,35.71538,5.989276
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-224,0,224,0,61.764401,124.211469,20.906157
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-240,0,240,0,72.075592,145.10212,24.314063
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-248,0,248,0,77.5047,155.702852,25.881382
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-252,0,252,0,80.396731,161.819713,26.71991
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-255,0,255,0,82.506254,166.531935,27.464662
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-128,0,0,128,8.952428,3.607925,47.119497
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-224,0,0,224,30.695856,12.32686,161.264029
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-240,0,0,240,36.014103,14.46027,189.289232
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-248,0,0,248,38.8148,15.535974,203.729621
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-252,0,0,252,39.96537,16.082015,210.202571
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-255,0,0,255,41.225298,16.49544,216.714595
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-128,0,128,128,26.566358,38.899,51.842959
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-224,0,224,224,90.933663,133.974158,178.788804
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-240,0,240,240,105.799607,156.065593,207.731988
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-248,0,248,248,113.849459,167.359583,225.295283
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-252,0,252,252,117.95606,173.957942,232.230308
native-gamma22-brightness-20260913/reference-173,gamma22,173,cyan-255,0,255,255,121.019737,178.777093,239.153252
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-128,128,0,128,28.918674,13.946453,47.244631
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-224,224,0,224,99.958756,48.174993,162.901661
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-240,240,0,240,117.190454,56.385434,191.170044
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-248,248,0,248,126.287297,60.716103,205.480792
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-252,252,0,252,130.791903,62.835759,214.314604
native-gamma22-brightness-20260913/reference-173,gamma22,173,magenta-255,255,0,255,134.755098,64.751243,220.675231
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-128,128,128,0,37.509258,45.655556,6.772653
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-224,224,224,0,129.956017,157.631434,23.829514
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-240,240,240,0,152.004628,184.048905,27.620504
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-248,248,248,0,163.725512,198.825878,29.874105
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-252,252,252,0,170.292706,206.826936,30.69969
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-255,255,255,0,175.277012,212.772696,31.490227
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-mix,192,64,64,55.377964,33.911759,13.66841
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-mix,64,192,64,49.647372,90.462902,24.343669
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-mix,64,64,192,29.746396,18.22797,116.12527
